,Titulo,Autor,Referencia,Texto,link
451,Sesión dominical,Mayolo López,VOTO 2017,"· Ante la exigencia del PAN, Morena, el PRD, el PT y Movimiento Ciudadano, el Consejo General del Instituto Nacional Electoral (INE) anunció que sesionará mañana, durante la jornada electoral en el Estado de México, Coahuila, Nayarit y Veracruz. Ayer, el secretario ejecutivo del organismo, Edmundo Jacobo, notificó a los consejeros el cambio de decisión.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880037&TipoTrans=8
452,Alientan voto en Tejupilco,Andro Aguilar,VOTO 2017. Hacen caravana funcionarios del INE. Asisten capacitadores de varios municipios mexiquenses en Tierra Caliente,"TEJUPILCO.- A un día de la elección de Gobernador en el Estado de México, el Instituto Nacional Electoral (INE) llamó a los habitantes de la región de Tierra Caliente a salir a votar el domingo.Alrededor de medio centenar de capacitadores y supervisores, pertenecientes a la Junta Electoral 36, promovieron el voto en una caravana por las principales calles de Tejupilco.El personal del Instituto se trasladó en una decena automóviles y camionetas decorados con globos de color rosa.Algunos funcionarios electorales hicieron el recorrido a pie por la zona, para interactuar de forma directa con los pobladores.Desde las cajas de las camionetas, los capacitadores lanzaron bolsas, plumas y llaveros con mensajes dirigidos a los ciudadanos.""¡Vamos todos a votar, no nos vayas a fallar!"", repitieron en coro al unísono con los cláxones de los vehículos.""¡No otro fraude!"", les respondió un hombre que compraba en una tienda.Entre el personal participante hubo capacitadores de municipios como Tlatlaya y Luvianos, que realizaron su trabajo en territorios con presencia de grupos criminales.Los vocales del distrito 36, sin embargo, aseguraron que el principal problema de la zona es la apatía ciudadana por la corrupción de la clase política.""Estamos remando contracorriente con muchos fenómenos que rodean a la ciudadanía y tenemos que lograr que la gente crea, se acerque, participe, y no decida una minoría por los demás"", dijo Allan Argüelles, vocal de capacitación del distrito.""Tenemos una clase política que no tiene calidad y entonces luchamos para convencer a la población de lo contrario"", añadió.El contingente de vehículos partió desde la glorieta Emiliano Zapata, en la entrada de la cabecera municipal, hasta el bulevar de la Deportiva, en un tramo de aproximadamente 5 kilómetros.Reginaldo Carbajal, capacitador asistente del INE, señaló que le hubiera gustado que la caravana recorriera algunos de los municipios del sur, como en Tlatlaya, donde él labora.""Pero de todos modos estuvo muy bonito, para que la gente se dé cuenta de nuestro entusiasmo, nuestras ganas de que la gente participe"", aseguró.El INE entregó también la paquetería electoral para las 498 secciones electorales ubicadas en el que, con 14 municipios, es el distrito más grande de la entidad por su extensión.     ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880038&TipoTrans=8
453,Señalan riesgo de conflicto,Zedryk Raziel,VOTO 2017,"NAUCALPAN.- Arturo Garrido, vocal ejecutivo de la Junta Distrital 30 de este municipio mexiquense, advirtió que en los comicios de este domingo podría haber conflictos.Se refirió al activismo de simpatizantes de Morena en las colonias populares y a la presencia de funcionarios públicos que hicieron campaña a favor del PRI.En entrevista, señaló que se registró trabajo de brigadas de promoción del voto a favor de la abandera morenista a la gubernatura, Delfina Gómez.A su vez, apuntó, funcionarios estatales y federales realizaron diversas visitas para promover programas, además de que la junta distrital se ha allegado información de que en esas colonias han sido repartidas las tarjetas ""Salario Rosa"" que promete el aspirante priista Alfredo del Mazo.Hace un año, explicó, hubo una redistritación que confinó en el Distrito 30 a todas las colonias populares de Naucalpan, con una población de escasos recursos y en cuyas calles, dijo, prevalece la inseguridad.El funcionario electoral señaló que Morena ha capitalizado simpatizantes en Valle Dorado, San Rafael y San José de los Leones, donde el jueves pasado fueron incautadas despensas que serían entregadas, al parecer, para comprar el voto a favor de dicho partido.""Sí se incrementó mucho la presencia de Morena en el distrito. Esto nos lleva a suponer que, en un momento dado, pudiera haber alguna situación que tendremos que atender de inmediato"", advirtió.El funcionario apuntó que la pugna entre PRI y Morena por la zona popular ha llevado a los representantes electorales de ambos partidos, Francisco Mondragón y Jesús Gómez, respectivamente, a urgir a la Junta a reforzar la vigilancia de la votación, ante el riesgo de que se cometan delitos electorales.""Se ha visto el incremento de simpatizantes de Morena. Tan es así, que le han invertido a la campaña en mantas, espectaculares, brigadas. Se ven mucho más que de otros partidos aquí en el municipio.""Ellos prevén que podrían obtener gran parte de la votación en este Distrito, están viendo un escenario propicio para ello. Si bien no obtener la mayoría de la votación, pero sí incrementarla"", consideró.En cambio, anotó, el PAN -que gobierna Naucalpan- tiene escasa presencia en esta región y concentró su proselitismo en las zonas residenciales de los Distritos 29 y 32.Indicó que, en previsión de un escenario complejo, la Junta Distrital estableció coordinación con el INE, la Fepade y las Policías Estatal y Municipal para garantizar el resguardo del material electoral tras el cierre de las casillas.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880039&TipoTrans=8
454,Advierten desinterés en Huixquilucan,Isabella González,VOTO 2017,"HUIXQUILUCAN.- Funcionarios del Instituto Nacional Electoral (INE) del Distrito 18 informaron que los vecinos de zonas residenciales de Huixquilucan son quienes menos participan en elecciones y prevén que este domingo no sea la excepción.Claudia Mendoza, técnico electoral en dicho distrito, dijo que incluso completar los cuatro funcionarios en cada una de las casilla en estas zonas fue una tarea difícil.""Todos dicen que no les interesa, que van a estar de vacaciones o que están muy ocupados.""Tuvimos que recorrer muchas calles y tocar muchas puertas, porque acercarte a estas personas es difícil por el tema de la vigilancia"", explicó.En este municipio mexiquense se instalarán 543 casillas este domingo.La funcionaria indicó que las zonas residenciales donde más encuentran resistencia al sufragio el domingo son Lomas Anáhuac, Hacienda de las Palmas, Lomas Country Club y Tecamachalco.""Se desquitan con el INE por lo que hacen los partidos. Te dicen, para qué voy a votar si la elección ya está arreglada, cuando es importante que vayan a votar"", agregó.Dos de los cinco candidatos a la gubernatura viven en zonas residenciales de este municipio: la panista Josefina Vázquez Mota y el priista Alfredo del Mazo, quien fue Alcalde de Huixquilucan.""La pelea va a ser entre el PAN y el PRI porque van a tratar de defender sus intereses"", indicó la funcionaria.Sin embargo, consideró, la abanderada de Morena, Delfina Gómez, puede dar la sorpresa.""Mucha gente está harta del PRI, mucha gente se decepcionó del PAN"", expresó Mendoza.     ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880040&TipoTrans=8
455,Prevén en Tlalnepanta baja asistencia a urnas,Jorge Ricardo,VOTO 2017,"TLALNEPANTLA.- En el distrito electoral número 37 todo está listo para la elección del domingo, capacitación, casillas, reparto de papelería, boletas, pero aun cuando la circunscripción está en dos municipios mexiquenses, se prevé una votación baja.""Esperamos que se presente entre 45 y 50 por ciento para este tipo de elecciones, esperamos una elección normal"", informó el vocal de organización, José Antonio Martínez.Con la redistritación del Estado de México, el Distrito 37, con sede en Tlalnepantla, se amplió para incluir secciones de Ecatepec.El vocal ejecutivo de la Junta Distrital, Raúl Sánchez, informó que el 37 está integrado por 234 secciones del muncipio de Tlalnepantla y 145 de Ecatepec.Desde marzo a la fecha, dijo, la oficina organizó 502 eventos de promoción del voto, el mayor número de todos los distritos electorales de la entidad, pero aún así esperan votación baja.Adrián García, auxiliar adscrito a la vocalía de capacitación, consideró exagerado esperar que votará más de 40 por ciento.""Yo creo que un 30 o un 35"", pronosticóEn Tlalnepantla y Ecatepec ha gobernado principalmente el PRI. En el segundo municipio sólo en dos ocasiones han gobernado el PAN y el PRD, pero actualmente en los dos municipios los alcaldes son del tricolor.Aunque los funcionarios electorales descartan algún acto de violencia, su mayor la preocupación es que la gente salga a votar.Para los partidos de oposición, una alta abstención beneficiaría al candidato priista Alfredo del Mazo.Aunque en la mayoría de los distritos, el INE se retrasó con el registro de representantes de partidos, el vocal ejecutivo del Distrito 37 dijo que estos se podrían entregar incluso el mismo domingo a la hora de abrir las casillas.Ayer se entregaron los últimos paquetes de papelería a los presidentes de casilla.Ignacio Hernández, chofer de la combi que rentó el INE para hacer la entregas, dijo que sufragar el domingo es importante.""Creo que sí, pero de que se lleve a cabo lo que uno quiere, quién sabe"", comentó Hernández.Enfrente de la junta distrital, había una base de taxi con el lema de la campaña de Del Mazo pintado en las ventanillas.Los choferes llevaban gorras rojas del candidato.      ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880041&TipoTrans=8
456,Ofrecen datos a tiempo,Montserrat Peñaloza,VOTO 2017,"TOLUCA.- El Instituto Electoral del Estado de México (IEEM) aseguró que Programa de Resultados Electorales Preliminares (PREP) arrojará datos completos de la jornada antes de la medianoche de este domingo.Pedro Zamudio, presidente consejero del organismo, indicó que no deberá existir ningún retraso, como el ocurrido en 2015, cuando los resultados preliminares de las elecciones de renovación de alcaldes y diputados locales registraron un avance del 40 por ciento alrededor de las 3:00 horas del día siguiente de los comicios.El PREP será transmitido en tiempo real en la plataforma del IEEM conforme las actas sean digitalizadas en las juntas distritales.A la par de esta herramienta, el Instituto Electoral operará el sistema de conteo rápido, para el cual se eligieron mil 818 casillas.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880042&TipoTrans=8
457,Falla equipo del IEEM,Montserrat Peñaloza,VOTO 2017,· TOLUCA. El ensayo para generar la muestra que utilizará el Instituto Electoral del Estado de México (IEEM) para dar resultados del PREP este domingo reveló fallas en el equipo.Los asesores externos de diversas universidades tuvieron que echar mano de una computadora ajena al organismo electoral durante dos horas.   ,https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880043&TipoTrans=8
458,Suspenden 'PREP casilla',Claudia Salazar,VOTO 2017,"· El Instituto Nacional Electoral (INE) canceló la prueba piloto del ""PREP casilla"" en el Estado de México, para garantizar que el personal se dedique íntegramente a la recolección de datos de la votación.La Secretaría Ejecutiva informó que, tras evaluar la información de pruebas y simulacros se decidió la suspensión.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880044&TipoTrans=8
459,Ven amenazas para Veracruz,Benito Jiménez,VOTO 2017. Indagan intimidación a electores. Detecta el Ejército a grupos armados en por lo menos diez municipios,"COATZACOALCOS.- El Ejército detectó la presencia de grupos armados que operan para distintos candidatos en al menos diez municipios de Veracruz en la jornada electoral, reveló un mando de la Sexta Región Militar, con sede en La Boticaria.""Realizan actos de intimidación, las denuncias ciudadanas hablan de la presencia de gente armada, de que amenazan con el robo de urnas también, pero en general es la intimidación a grupos, sectores para no salir a votar, de formar grupos de choque"", advirtió el jefe castrense.Los grupos armados fueron detectados en Coatzacoalcos, Veracruz (principalmente en una zona conocida como Los Volcanes), Mixtla de Altamirano, Coxquihui, Alvarado, Pánuco, Coatepec, Papantla, Tierra Blanca y Sochiapa de acuerdo con las denuncias ciudadanas recopiladas por los militares.Apenas en miércoles fueron baleados un grupo de simpatizantes de Morena en Mixtla. Uno de ellos murió por un impacto en la cabeza.Se estableció que el corredor Córdoba-Fortín-Mendoza-Orizaba también cuenta con la presencia de células criminales, no obstante, el mando consideró que éstas no están involucradas directamente al tema electoral.""Traen una disputa, entre estos grupos, para controlar actividades delictivas, no hay registros de que intimiden a personas por el tema de las elecciones"", añadió.El consejero presidente del Organismo Público Local Electoral (OPLE), Alejandro Bonilla, reconoció el jueves como focos rojos los municipios de Coatzacoalcos, Veracruz, Mixtla de Altamirano, Coxquihui y Alvarado. HALLAN DESPENSAS Por lo menos cinco mil despensas del PAN y PRD fueron halladas en Papantla, que serían entregadas a nombre del candidato a la Alcaldía, Mariano Romero.Rafael Carvajal, representante de Morena ante el Organismo Público Local Electoral (OPLE), afirmó que el actual Edil, Marcos Romero, pretendía utilizar los paquetes para favorecer a los aspirantes de la alianza del blanquiazul y el sol azteca.Tras recibir la denuncia, la Fepade abrió una carpeta de investigación.De acuerdo con las autoridades, una llamada anónima alertó sobre el reparto de despensas en taxis y camionetas.     ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880045&TipoTrans=8
460,Apuestan los Yunes su proyecto político,Martha Martínez,VOTO 2017,"VERACRUZ.- El resultado de los comicios de este 4 de junio, en los que se elegirán 212 alcaldías, serán cruciales para el proyecto político de los Yunes.El 30 de mayo pasado, las dirigencias estatales del PAN y del PRD, propusieron al Gobernador de Veracruz, Miguel Ángel Yunes Linares, como precandidato presidencial.El destape del mandatario local se dio una semana después de que las dirigencias nacionales de ambos partidos perfilaron un frente opositor para los comicios de 2018.De los resultado de la elección de este domingo dependerá que el Gobernador veracruzano se fortalezca, o no, como precandidato presencial.Los comicios también serán cruciales para las aspiraciones de Miguel Ángel Yunes Márquez, el hijo mayor del mandatario local.Actualmente es Presidente Municipal de Boca del Río, y son varias las voces que lo señalan como el próximo candidato al Gobierno de Veracruz.Otro integrante de la familia Yunes que busca fortalecerse este domingo es Fernando Yunes Márquez, quien en febrero pasado solicitó licencia como senador para competir por la alcaldía de Veracruz, abanderado por la alianza PAN-PRD, la misma que llevó a su padre al poder.No obstante, las aspiraciones de los Yunes se enfrentan al inédito crecimiento del Movimiento de Regeneración Nacional en la entidad en los dos últimos años.Actualmente, Morena es la tercera fuerza electoral en el estado.      ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880046&TipoTrans=8
461,Vendedor de boletas,,VOTO 2017,"· Elementos de la Agencia de Investigación Criminal de Veracruz detuvieron ayer a una persona que pretendía vender ocho boletas electorales en San Andrés Tuxtla, donde le aseguraron las papeletas para la elección de esta Alcaldía.   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880047&TipoTrans=8
462,Denuncia Morena espionaje a líderes,Zedryk Raziel,VOTO 2017. Advierten 'muy nerviosos' a funcionarios federales. Aclaran motivo de diálogo teléfonico entre Polevnsky e hijo de AMLO,"Morena informó ayer que sus dirigentes son conscientes de que son objeto de espionaje por parte del Gobierno federal, por lo que intencionalmente cifran sus comunicaciones.En un posicionamiento enviado a este diario, señaló que un ejemplo del espionaje y de la estrategia de utilizar ciertos códigos es la llamada que fue filtrada el jueves, en la que se oye a Yeidckol Polevnsky, secretaria general de Morena, hablando con un hijo de Andrés Manuel López Obrador sobre la contratación de una empresa.""Tenemos plena consciencia de la intervención y espionaje utilizados contra quienes luchamos por la transformación del país, por lo que siempre cuidamos la información que incluimos en nuestras comunicaciones.""Esta situación puede contribuir a que una llamada sea sacada de contexto con la intención de afectarnos, como ocurrió en esta ocasión"", establece el comunicado.El partido que dirige López Obrador responsabilizó al ex Presidente Carlos Salinas; al Gobernador de Veracruz, el panista Miguel Ángel Yunes, y al Secretario de Gobernación, Miguel Ángel Osorio Chong.Señaló que están ""muy nerviosos"" por el empuje electoral de Morena en el Edomex y por el riesgo de perder la Presidencia en 2018, lo que, acusó, los ha llevado a maniobrar para intentar desprestigiar al partido y hacer parecer que es corrupto.Morena aclaró que la conversación entre Polevnsky y Andrés Manuel López Beltrán entre el 15 y el 26 de mayo de 2016, y versó sobre la organización del cierre de campaña del entonces candidato a la gubernatura de Veracruz, Cuitláhuac García.""Para esa fecha no se contaba con la autorización de las instancias gubernamentales correspondientes para la realización del evento y éste se mantenía en secreto, motivo por el cual no podía ser tratado abiertamente por teléfono.""En la grabación, cuando se menciona 'el asunto', se refiere al concierto de cierre de campaña"", apuntó.Morena aclaró incluso qué significados tienen otras expresiones utilizadas en la conversación telefónica.""Cuando en el segundo 37 se dice: 'mi papá terminó decidiendo que sólo ellos, nadie más', se hace referencia a que, a pesar de haberse presentado una serie de opciones de grupos musicales, se decidió optar por tener un solo grupo musical, la orquesta Los Van Van.""Cuando en el segundo 56 se dice: 'nosotros directamente como partido no podemos hacer este asunto', se refiere a que el partido, en un lapso reducido de tiempo, no podía hacerse cargo de la contratación, producción y logística de un concierto masivo"", precisó.Agregó que la mención a que su partido no puede recibir donaciones se dio a raíz de que los diputados de Morena se habían ofrecido a donar dinero al ex candidato para el pago del concierto.Sobre ""la empresa"" aludida, cuyo nombre no es mencionado en la plática filtrada y tampoco en el comunicado, afirmó que es una firma que contrataría el grupo musical y se hiciera cargo de producción y logística del concierto mencionado.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880048&TipoTrans=8
463,Piden indagar financiamiento,Mayolo López,VOTO 2017,"El PRI presentó ante el Instituto Nacional Electoral (INE) una denuncia y pidió investigar el origen del financiamiento de las campañas de Morena. Jorge Carlos Marín, representante del tricolor, consideró que la conversación telefónica en la que uno de los hijos de Andrés Manuel López Obrador y la secretaria general de Morena, Yeidckol Polevnsky, hablan del financiamiento de una empresa, amerita aclarar el origen de los recursos.""No hay claridad sobre los egresos de Morena y esto hace presuponer que hay recursos de procedencia ilícita"", dijo el también diputado federal priista.     ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880049&TipoTrans=8
464,Urgen a frenar amparos,Claudia Salazar,VOTO 2017,"· El PRD pidió a la Corte evitar que los jueces de distrito otorguen amparos a funcionarios públicos acusados de intervenir en los procesos electorales en el Edomex, Coahuila, Nayarit y Veracruz.     ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880050&TipoTrans=8
465,Ordenan capturar a Roberto Borge,Abel Barajas,Van tras ex Gobernador por blanqueo de dinero. Lo acusan de lavado en compra de tierras y de una empresa de barcos en QR,"El ex Gobernador del Estado de Quintana Roo Roberto Borge es buscado por la justicia federal.Un juez ordenó la aprehensión del ex Mandatario priista por la adquisición con prestanombres de terrenos del Estado a precios subvaluados. También por la compra de una empresa de embarcaciones turísticas en la Riviera Maya.Ambos delitos serían producto de lavado de dinero.De acuerdo con fuentes del Gobierno federal, un juez del Estado de México libró el jueves el mandato de captura contra Borge y otros cuatro presuntos implicados por el delito de lavado de dinero con base en la carpeta de investigación UEIORPIFAM-QR/0000749/2016, consignada por la SEIDO.Además del ex Mandatario, las aprehensiones fueron giradas contra Claudia Romanillos Villanueva, ex directora del Instituto del Patrimonio Inmobiliario de la Administración Pública del Estado (IPAE), y Soraya Guadalupe Herrera Manzanilla, ex coordinadora jurídica del instituto.También se ordenó aprehender a María de Lourdes Pinelo Nieto, secretaria del padre del ex Gobernador, y César Celso González Hermosillo y Melgarejo, abogado de la familia Borge.Según los antecedentes del caso, una de las vertientes de la acusación es la venta de 24 inmuebles del Gobierno local a un precio equivalente a un 6 por ciento de su valor comercial a integrantes del círculo cercano a Borge y sus familiares.Se trata de terrenos de 7 millones 118 mil 309 metros cuadrados en Cancún y Cozumel rematados entre 2011 y 2014 por el IPAE -en la gestión de Romanillos y Herrera- y que tienen un valor comercial de 5 mil millones de pesos, según la PGR.Diez de los inmuebles no eran susceptibles de venta por tratarse de reservas naturales, y otros cuatro fueron adquiridos por María Rosa Yolanda Angulo Castilla, madre del ex Gobernador, quien no fue consignada en este expediente.El 24 de febrero, la SEIDO aseguró los bienes, que quedaron a disposición del Ministerio Público federal.Otro aspecto del lavado que se imputa a Borge y sus presuntos prestanombres es la inyección de recursos a la naviera Barcos Caribe, que opera una flota de ferris de pasajeros entre Cozumel y Playa del Carmen.La empresa la administran Pinelo Nieto y González Hermosillo, quienes, para las autoridades, no tienen capacidad económica ni los antecedentes en el giro para justificar inversiones de millones de dólares en la compra de embarcaciones.   La red del ex Gobernador Presuntos prestanombres del ex Mandatario de Quintana Roo: · Juan y Raúl González Angulo en la sociedad Isla Cabañas.· Rosa Angulo Castilla, madre de Borge, quien recibió un terreno en una ""zona privilegiada de Cozumel"".· César Celso González Hermosillo, abogado por décadas de la familia.· María Pinelo, secretaria y cuidadora de la madre de Borge.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880051&TipoTrans=8
466,Simulan donaciones Coahuila y 'Rey Dragón',Verónica Ayala,,"Luis Carlos Castillo Cervantes, ""El Rey de los Dragones"", podría ser también el rey de la simulación.El empresario enfrenta en México una nueva denuncia por importar de Estados Unidos autobuses escolares para ""donarlos"" a municipios de Coahuila que en realidad fueron vendidos con sobrecosto al Gobierno estatal en la gestión de Humberto Moreira.De acuerdo con una denuncia presentada el 18 de mayo ante la PGR, el SAT registró el ingreso a México de 23 unidades donadas en su mayoría por la empresa Rodmax Inc., propiedad de Castillo en EU.Los camiones fueron incluidos en el contrato que el Gobierno de Coahuila firmó por 40.2 millones de pesos para la compra de maquinaria y autobuses escolares con la empresa de Monterrey Insumos y Maquinaria, asociada a compañías propiedad de Castillo.Incluso el contrato fue firmado el 6 de mayo de 2008 -meses antes de que se concretaran las donaciones de los camiones (modelos 1995-1997)-, y por los que el Gobierno pagó más de medio millón de pesos por cada unidad.En agosto de 2008 se entregaron 15 autobuses donados por Rodmax a Piedras Negras, y entre diciembre de 2008 y enero de 2009 fueron donados por particulares otros 8 camiones a los municipios de los estados de Hidalgo y Guerrero.Las 23 unidades coinciden con las del contrato que no fue licitado y en cuya venta la empresa expidió facturas apócrifas.En enero, en Texas, tras declararse culpable de lavado de dinero, Castillo fue liberado luego de un acuerdo con las autoridades en el que cedió un avión, 5 millones de dólares, automóviles, motocicletas, centenarios y diamantes.   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880052&TipoTrans=8
467,Pierde estribos Alfaro por la ley Kumamoto,,,"GUADALAJARA.- El Alcalde Enrique Alfaro exigió su crédito en la ley Kumamoto.El Edil emanado del Partido Movimiento Ciudadano perdió los estribos y demandó que se le reconozca en la aprobación de la reforma electoral de Jalisco que redujo las prerrogativas a los partidos políticos en la entidad.""Esa reforma estaba sepultada. La había sepultado el PRI, y eso no lo saben los medios"", aseguró.""Estaba en mi casa y tomé una decisión: hablé con (Pedro) Kumamoto, hablé con mi fracción y les dije 'Va para adelante el asunto', y el asunto salió porque somos la primera fuerza política a la que ningún medio menciona"".Alfaro aseguró que no le importa si los medios de comunicación no le dieron el crédito en la reforma.""Quiero ver a todos esos que escriben tantas cosas de mí (...) al periódico MURAL (de Grupo Reforma), al NTR, a la Crónica, a todas esas basuras que escriben cosas todos los días denigrando, ofendiendo, atacando.""Quiero ver qué han hecho ellos que le llegue a los talones a esto para cambiar la realidad, qué han hecho aparte de criticar, de atacar, de ofender, de mentir"", dijo.   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880053&TipoTrans=8
468,Denuncian a Cardenal por encubrir pederastia,Diana Baptista,,"El Cardenal Norberto Rivera debe enfrentar a la justicia.A cuatro días de que el Arzobispo cumpla 75 años y presente su renuncia a su ministerio al Papa Francisco, los ex sacerdotes Alberto Athié y José Barba presentaron ayer una denuncia en su contra ante la PGR por presunto encubrimiento de 15 curas pederastas.Acompañados de familiares y víctimas del Padre Marcial Maciel, los acusadores explicaron que la denuncia de hechos hace referencia a una conferencia que ofreció Rivera en diciembre de 2016, en la cual declaró conocer los casos de 15 sacerdotes que fueron sancionados en el Vaticano.""Él dice que abrió un expediente de investigación, que Roma encontró elementos y que el Papa sentenció. (...) No hizo en paralelo ninguna acción para notificar a las autoridades mexicanas"", explicó Athié en entrevista afuera de la PGR.La denuncia señala al Cardenal por tener conocimiento pleno de la comisión de hechos ilícitos, los cuales no informó a las autoridades ministeriales.""Pedimos a la Procuraduría abrir una investigación para que la arquidiócesis abra sus archivos y entregue toda la información que tiene de esos 15 casos"", refirió.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880054&TipoTrans=8
469,Vuelve a Reynosa pánico por tiroteos,REFORMA / STAFF,Reportan 7 decesos durante balaceras. Sacuden a ciudad enfrentamientos de grupos armados y fuerzas del orden,"REYNOSA.- Al menos siete muertos fue el saldo ayer de un nuevo enfrentamiento de grupos armados entre sí y contra fuerzas del orden.Durante los enfrentamientos algunos civiles ajenos a los hechos resultaron heridos.Aunque oficialmente las autoridades informaron sólo vía Twitter, por medio de la Vocería de la Secretaría de Seguridad Pública de Tamaulipas, sólo se reportó un saldo preliminar de cinco muertos.""Informa Procuraduría General de Justicia #Tamaulipas que 5 personas murieron y una lesionada en situaciones de riesgo de hoy en #Reynosa"", difundió.Desde la madrugada camionetas con la leyenda M42 y otras con M100 protagonizaban las persecuciones y balaceras, pero al amanecer empezaron a intervenir las fuerzas federales, lo que complicó más la situación de violencia.La situación más peligrosa para la población se vivió al mediodía durante una persecución de policías estatales agredidos en la carretera a San Fernando.Ahí, frente a una tienda de conveniencias, Oxxo y un colegio de bachilleres técnico (Cecati), se registró un fuerte enfrentamiento a balazos entre agentes y un grupo armado.Usuarios de redes sociales informaron que en este enfrentamiento hubo heridos y un policía resultó lesionado por una bala.El tiroteo se convirtió en persecución adentrándose a la colonia Ampliación Pedro J. Méndez, donde en la primaria Villa y Zapata se enfrentaron de nuevo con saldo de al menos dos sicarios abatidos y civiles alcanzados por balas.Pero desde las 5:00 horas empezaron a reportarse detonaciones, persecuciones y enfrentamientos en diversas colonias, principalmente al sur de la ciudad.Los militares se toparon con un convoy armado en la carretera a San Fernando casi en el cruce con el Libramiento Sur Dos. Los pistoleros les dispararon y se suscitó el enfrentamiento; allí un militar fue herido.En la segunda rotonda de la colonia Las Fuentes, hubo un tiroteo entre grupos criminales rivales en donde quedó abatido un joven de alrededor de 20 años.Pero testigos presenciales aseguraron que hubo cuatro muertos más que se llevaron los grupos armados en una camioneta y un auto compacto sedán.En la Avenida Río Purificación en la Colonia Carlos Cantú, fue lesionado un hombre en su vehículo gris Chevrolet y también fue reportada una mujer con herida de bala perdida.En la Colonia La Joya, una mujer murió atropellada por desconocidos y un hombre llegó con herida de bala al Hospital 270 del IMSS.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880055&TipoTrans=8
470,Hora de votar,,,"Sigue mañana cada detalle de las elecciones en el Edomex, Coahuila, Nayarit y Veracruz en distintos dispositivos. Todas las plataformas Notas en tiempo real, fotogalerías, alertas móviles y videos de la jornada  Pantalla Alterna Desde tu smartphone, consulta reforma.com/pantallaelectoral la información al minuto  Cortes informativos durante el día Reporta anomalías en Twitter #OjoCiudadano   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880056&TipoTrans=8
471,Pactan protección para periodistas,REFORMA / Staff,,"El Secretario de Gobernación, Miguel Ángel Osorio Chong, aseguró que en el Presupuesto de Egresos de 2018 habrá una partida para reforzar el Mecanismo de Protección de Defensores de Derechos Humanos y Periodistas.""Reitero, habrá recurso suficiente en el Mecanismo, esto es algo que platicamos hace un momento también con el Jefe de Gobierno, los gobernadores.""Y también se ha dicho aquí, se ha expresado, el compromiso de pedir a la Cámara de Diputados para que en el próximo Presupuesto se pueda establecer un recurso especial para este tema que hoy estamos aquí dialogando"", ofreció.En el seno de la Conferencia Nacional de Gobernadores (Conago), los mandatarios estatales definieron, junto con el funcionario federal los alcances de Unidades Estatales de Protección a periodistas.Estas Unidades, señaló Osorio Chong, serán las encargadas de atender la violencia que se ha generado contra los comunicadores a través de protocolos de actuación y de la implementación de medidas preventivas.""Se trata de contar con instituciones más efectivas para perseguir, sancionar y sobre todo, para prevenir las agresiones contra periodistas, partiendo de una colaboración más estrecha entre órdenes de gobierno con base en esquemas y protocolos precisos"", señaló.Para que todas las unidades cuenten con personal calificado, anunció, el 26 de junio se llevará a cabo en las instalaciones de la Policía Federal en San Luis Potosí un curso de capacitación a aquellos funcionarios estatales que formarán parte de estas unidades.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1880057&TipoTrans=8
